state,district,commodity,arrival_date,modal_price
Andaman and Nicobar,South Andaman,Amaranthus,04-03-19,7000
Kerala,Ernakulam,Amaranthus,04-03-19,1800
Kerala,Kasargod,Amaranthus,04-03-19,1550
Kerala,Kollam,Amaranthus,04-03-19,4600
Kerala,Malappuram,Amaranthus,04-03-19,1800
Kerala,Thirssur,Amaranthus,04-03-19,1700
Kerala,Kasargod,Amaranthus,04-03-19,2900
Kerala,Kollam,Amaranthus,04-03-19,1400
Kerala,Thiruvananthapuram,Amaranthus,04-03-19,3500
Kerala,Malappuram,Amla(Nelli Kai),04-03-19,3800
Kerala,Alappuzha,Amphophalus,04-03-19,2400
Kerala,Alappuzha,Amphophalus,04-03-19,3600
Kerala,Ernakulam,Amphophalus,04-03-19,2500
Kerala,Malappuram,Amphophalus,04-03-19,2300
Kerala,Alappuzha,Amphophalus,04-03-19,1900
Punjab,Jalandhar,Amphophalus,04-03-19,2000
Haryana,Faridabad,Apple,04-03-19,5000
Haryana,Mewat,Apple,04-03-19,8000
Himachal Pradesh,Kangra,Apple,04-03-19,5000
Himachal Pradesh,Kangra,Apple,04-03-19,7500
Himachal Pradesh,Kangra,Apple,04-03-19,8000
Kerala,Alappuzha,Apple,04-03-19,11000
Madhya Pradesh,Dhar,Apple,04-03-19,2200
Madhya Pradesh,Dhar,Apple,04-03-19,2000
Maharashtra,Satara,Apple,04-03-19,8000
Maharashtra,Kolhapur,Apple,04-03-19,10000
Maharashtra,Pune,Apple,04-03-19,7800
Punjab,Tarntaran,Apple,04-03-19,5500
Punjab,Muktsar,Apple,04-03-19,5500
Uttar Pradesh,Agra,Apple,04-03-19,5200
Uttar Pradesh,Baghpat,Apple,04-03-19,4900
Uttar Pradesh,Lakhimpur,Apple,04-03-19,6410
Uttar Pradesh,Saharanpur,Apple,04-03-19,6475
Uttar Pradesh,Agra,Apple,04-03-19,5850
Uttar Pradesh,Agra,Apple,04-03-19,5550
Uttar Pradesh,Agra,Apple,04-03-19,5550
Uttar Pradesh,Ghaziabad,Apple,04-03-19,5850
Uttar Pradesh,Kannuj,Apple,04-03-19,6500
Uttar Pradesh,Mirzapur,Apple,04-03-19,6250
Uttar Pradesh,Muradabad,Apple,04-03-19,4130
Uttar Pradesh,Muzaffarnagar,Apple,04-03-19,5820
Uttar Pradesh,Bahraich,Apple,04-03-19,5350
Uttar Pradesh,Kanpur,Apple,04-03-19,5800
